Date,Timestamp,Open,High,Low,Close,Volume
20030505,00:00:00,1.12161,1.12209,1.12161,1.12209,16
20030505,00:01:00,1.12206,1.1225,1.12206,1.1225,22
20030505,00:02:00,1.12238,1.12247,1.12225,1.12231,16
