Date,Timestamp,Bid Price,Ask Price,Last Price,Volume
20240101,22:00:12,1.10427,1.10481,1.10427,1
20240101,22:00:14,1.10425,1.1048,1.10425,1
20240101,22:00:18,1.10425,1.10476,1.10425,1
