horizon,MAE,RMSE,MAPE,Directional_Accuracy
2h,0.011453371837238574,0.01561441635185785,0.860601268337336,87.34177215189874
8h,0.011769800120154803,0.015972829629508432,0.889670288243802,72.56195400249598
24h,0.01250725221151464,0.016825939555182617,0.9538607891307593,51.9522196469959
